../assemble_fasta/588_kp/scafold_medusa/kp_588.hib.medusa.fasta	klebsiella	-	gapA(4)	infB(~1)	mdh(2)	pgi(52)	phoE(334?)	rpoB(353?)	tonB(7)
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta	klebsiella	307	gapA(4)	infB(1)	mdh(2)	pgi(52)	phoE(1)	rpoB(1)	tonB(7)
../assemble_fasta/644_kp/scafold_medusa/kp_644.hib.medusa.fasta	klebsiella	11	gapA(3)	infB(3)	mdh(1)	pgi(1)	phoE(1)	rpoB(1)	tonB(4)
../assemble_fasta/644_kp/scafold_medusa/kp_644.long.medusa.fasta	klebsiella	11	gapA(3)	infB(3)	mdh(1)	pgi(1)	phoE(1)	rpoB(1)	tonB(4)
../assemble_fasta/644_kp/scafold_medusa/kp_644.short.medusa.fasta	klebsiella	11	gapA(3)	infB(3)	mdh(1)	pgi(1)	phoE(1)	rpoB(1)	tonB(4)
../assemble_fasta/645_kp/scafold_medusa/kp_645.hib.medusa.fasta	klebsiella	11	gapA(3)	infB(3)	mdh(1)	pgi(1)	phoE(1)	rpoB(1)	tonB(4)
../assemble_fasta/645_kp/scafold_medusa/kp_645.long.medusa.fasta	klebsiella	11	gapA(3)	infB(3)	mdh(1)	pgi(1)	phoE(1)	rpoB(1)	tonB(4)
../assemble_fasta/645_kp/scafold_medusa/kp_645.short.medusa.fasta	klebsiella	11	gapA(3)	infB(3)	mdh(1)	pgi(1)	phoE(1)	rpoB(1)	tonB(4)
../assemble_fasta/646_kp/scafold_medusa/kp_646.hib.medusa.fasta	klebsiella	11	gapA(3)	infB(3)	mdh(1)	pgi(1)	phoE(1)	rpoB(1)	tonB(4)
../assemble_fasta/646_kp/scafold_medusa/kp_646.long.medusa.fasta	klebsiella	469	gapA(2)	infB(1)	mdh(2)	pgi(1)	phoE(10)	rpoB(1)	tonB(4)
../assemble_fasta/646_kp/scafold_medusa/kp_646.short.medusa.fasta	klebsiella	469	gapA(2)	infB(1)	mdh(2)	pgi(1)	phoE(10)	rpoB(1)	tonB(4)
../assemble_fasta/686_kp/scafold_medusa/kp_686.hib.medusa.fasta	klebsiella	1422	gapA(42)	infB(22)	mdh(18)	pgi(22)	phoE(79)	rpoB(41)	tonB(99)
../assemble_fasta/686_kp/scafold_medusa/kp_686.long.medusa.fasta	klebsiella	1422	gapA(42)	infB(22)	mdh(18)	pgi(22)	phoE(79)	rpoB(41)	tonB(99)
../assemble_fasta/686_kp/scafold_medusa/kp_686.short.medusa.fasta	klebsiella	1422	gapA(42)	infB(22)	mdh(18)	pgi(22)	phoE(79)	rpoB(41)	tonB(99)
../assemble_fasta/692_kp/scafold_medusa/kp_692.hib.medusa.fasta	klebsiella	1422	gapA(42)	infB(22)	mdh(18)	pgi(22)	phoE(79)	rpoB(41)	tonB(99)
../assemble_fasta/692_kp/scafold_medusa/kp_692.long.medusa.fasta	klebsiella	1422	gapA(42)	infB(22)	mdh(18)	pgi(22)	phoE(79)	rpoB(41)	tonB(99)
../assemble_fasta/692_kp/scafold_medusa/kp_692.short.medusa.fasta	klebsiella	1422	gapA(42)	infB(22)	mdh(18)	pgi(22)	phoE(79)	rpoB(41)	tonB(99)
