#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,802719,805871,-,oqxB19,1-3153/3153,===============,0/0,100.00,99.40,ncbi,NG_050437.1,multidrug efflux RND transporter permease subunit OqxB19,PHENICOL;QUINOLONE
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,805895,807070,-,oqxA5,1-1176/1176,===============,0/0,100.00,99.41,ncbi,NG_050423.1,multidrug efflux RND transporter periplasmic adaptor subunit OqxA5,PHENICOL;QUINOLONE
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,1816831,1817706,-,blaCTX-M-15,1-876/876,===============,0/0,100.00,100.00,ncbi,NG_048935.1,class A extended-spectrum beta-lactamase CTX-M-15,CEPHALOSPORIN
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,2379410,2380270,+,blaSHV-106,1-861/861,===============,0/0,100.00,99.88,ncbi,NG_049996.1,class A extended-spectrum beta-lactamase SHV-106,CEPHALOSPORIN
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,4321481,4321900,-,fosA6,1-420/420,===============,0/0,100.00,99.76,ncbi,NG_051497.1,fosfomycin resistance glutathione transferase FosA6,FOSFOMYCIN
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,5486691,5487506,+,sul2,1-816/816,===============,0/0,100.00,100.00,ncbi,NG_051852.1,sulfonamide-resistant dihydropteroate synthase Sul2,SULFONAMIDE
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,5487543,5488370,+,aph(3'')-Ib,1-828/828,===============,0/0,100.00,100.00,ncbi,NG_056002.2,aminoglycoside O-phosphotransferase APH(3'')-Ib,STREPTOMYCIN
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,5488370,5489206,+,aph(6)-Id,1-837/837,===============,0/0,100.00,100.00,ncbi,NG_047464.1,aminoglycoside O-phosphotransferase APH(6)-Id,STREPTOMYCIN
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,5489927,5490787,-,blaTEM-1,1-861/861,===============,0/0,100.00,100.00,ncbi,NG_050145.1,class A broad-spectrum beta-lactamase TEM-1,BETA-LACTAM
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,5493609,5494484,+,blaCTX-M-15,1-876/876,===============,0/0,100.00,100.00,ncbi,NG_048935.1,class A extended-spectrum beta-lactamase CTX-M-15,CEPHALOSPORIN
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,5503101,5503574,-,dfrA14,1-474/474,===============,0/0,100.00,100.00,ncbi,NG_056035.1,trimethoprim-resistant dihydrofolate reductase DfrA14,TRIMETHOPRIM
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,5507742,5508602,-,aac(3)-IIe,1-861/861,===============,0/0,100.00,99.77,ncbi,NG_047244.1,aminoglycoside N-acetyltransferase AAC(3)-IIe,GENTAMICIN
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,5509557,5510111,+,aac(6')-Ib-D181Y,1-555/555,===============,0/0,100.00,99.82,ncbi,NG_067946.1,AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase,AMIKACIN;KANAMYCIN;TOBRAMYCIN
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,5510242,5511072,+,blaOXA-1,1-831/831,===============,0/0,100.00,100.00,ncbi,NG_049392.1,oxacillin-hydrolyzing class D beta-lactamase OXA-1,CEPHALOSPORIN
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,5515060,5516259,+,tet(A),1-1200/1200,===============,0/0,100.00,100.00,ncbi,NG_048154.1,tetracycline efflux MFS transporter Tet(A),TETRACYCLINE
../assemble_fasta/588_kp/scafold_medusa/kp_588.long.medusa.fasta,Scaffold_1,5524487,5525131,+,qnrB1,1-645/645,===============,0/0,100.00,100.00,ncbi,NG_050469.1,quinolone resistance pentapeptide repeat protein QnrB1,QUINOLONE
